kokugo,shakai,sugaku,rika
30,43,51,63
39,21,49,56
29,30,23,57
95,87,77,100
70,71,78,67
67,53,56,61
29,26,44,52
56,54,37,59
45,21,7,44
68,41,29,81
50,43,80,73
70,61,61,71
46,37,36,56
23,24,20,36
77,54,58,84
15,8,22,29
37,23,23,32
55,42,85,86
0,5,0,24
35,48,24,42
60,80,64,72
70,52,75,60
82,84,86,88
44,22,18,13
54,14,33,43
80,63,59,73
46,47,72,56
48,63,72,83
51,41,63,60
37,18,38,51
31,29,28,36
35,52,40,65
50,41,50,64
33,28,65,43
27,20,17,29
36,27,62,58
77,70,91,72
61,49,71,71
84,90,87,100
78,43,59,55
7,17,18,27
57,32,36,55
60,60,85,66
17,19,25,28
82,86,75,84
37,36,45,41
40,27,35,45
72,73,94,96
74,63,79,69
87,85,84,93
66,34,57,50
90,68,64,78
43,19,29,35
24,15,1,17
41,34,28,43
42,16,29,43
33,23,48,53
29,15,20,21
83,83,58,71
73,81,94,85
66,23,78,41
71,38,80,61
62,57,91,83
47,51,69,80
53,33,50,38
61,33,50,49
21,20,39,21
74,66,65,78
72,68,42,66
50,44,47,56
5,27,29,24
32,28,14,43
23,25,26,34
34,20,23,30
70,87,84,88
9,25,23,33
61,37,39,55
34,40,36,33
38,31,33,31
72,41,36,44
32,28,32,41
52,29,32,36
96,76,90,77
58,31,46,46
35,23,17,38
40,38,7,21
48,23,41,40
46,53,34,30
32,21,24,28
50,28,29,31
76,63,74,72
64,40,30,49
62,43,14,48
76,42,58,51
81,50,61,63
69,49,30,34
89,83,73,81
27,29,34,40
39,24,26,24
62,39,42,40
73,74,74,61
49,18,27,20
35,18,28,25
36,4,15,43
16,16,25,22
60,48,67,29
74,60,57,78
22,9,6,26
47,21,26,25
43,32,74,55
84,51,76,84
65,43,38,70
49,26,62,50
31,14,8,16
83,54,44,45
87,86,77,78
68,59,60,63
68,53,41,57
28,4,37,29
42,29,33,48
42,31,47,44
70,57,60,61
58,62,40,66
57,40,43,28
8,12,0,20
44,32,31,28
65,43,36,49
81,53,78,81
57,53,75,58
64,36,20,31
86,62,78,54
34,27,48,52
84,57,45,64
4,9,5,11
23,9,5,26
66,43,54,72
53,23,28,30
70,41,44,34
78,53,45,54
39,19,5,32
74,62,44,58
33,33,32,42
43,24,29,47
54,21,43,28
26,15,13,19
58,17,34,19
29,15,37,19
73,60,59,54
59,25,45,48
58,17,31,23
70,56,76,62
19,12,9,28
29,21,26,30
32,7,14,18
77,64,87,71
91,69,100,83
50,31,53,44
63,32,43,52
42,16,27,22
68,28,60,69
70,23,43,50
82,78,80,88
0,8,2,9
45,26,29,24
73,31,43,32
60,85,89,80
