user,class
1,C
2,C
3,B
4,C
5,A
6,B
7,C
8,B
9,C
10,A
11,B
12,A
13,C
14,B
15,A
16,A
17,C
18,A
19,A
20,A
21,A
22,A
23,C
24,A
25,C
26,A
27,C
28,A
29,B
30,A
31,C
32,B
33,C
34,B
35,B
36,B
37,C
38,B
39,A
40,B
41,A
42,B
43,C
44,B
45,A
46,A
47,C
48,B
49,C
50,B
51,C
52,C
53,A
54,B
55,B
56,B
57,B
58,A
59,B
60,A
61,C
62,B
63,B
64,A
65,A
66,A
67,A
68,C
69,C
70,B
71,A
72,C
73,C
74,C
75,C
76,B
77,B
78,C
79,C
80,C
81,A
82,A
83,A
84,B
85,B
86,C
87,C
88,C
89,B
90,B
91,B
92,C
93,B
94,C
95,A
96,C
97,C
98,A
99,A
100,B
101,B
102,C
103,A
104,A
105,C
106,B
107,C
108,C
109,B
110,C
111,A
112,B
113,A
114,B
115,B
116,A
117,C
118,B
119,B
120,B
121,A
122,C
123,C
124,A
125,B
126,A
127,B
128,C
129,C
130,B
131,A
132,C
133,C
134,C
135,A
136,C
137,B
138,B
139,B
140,C
141,A
142,A
143,C
144,C
145,C
146,A
147,C
148,A
149,B
150,C
151,A
152,C
153,B
154,C
155,A
156,C
157,C
158,A
159,C
160,B
161,A
162,A
163,A
164,C
165,C
166,B
