user,kokugo,shakai,sugaku,rika
1,30,43,51,63
2,39,21,49,56
3,29,30,23,57
4,95,87,77,100
5,70,71,78,67
6,67,53,56,61
7,29,26,44,52
8,56,54,37,59
9,45,21,7,44
10,68,41,29,81
11,50,43,80,73
12,70,61,61,71
13,46,37,36,56
14,23,24,20,36
15,77,54,58,84
16,15,8,22,29
17,37,23,23,32
18,55,42,85,86
19,0,5,0,24
20,35,48,24,42
21,60,80,64,72
22,70,52,75,60
23,82,84,86,88
24,44,22,18,13
25,54,14,33,43
26,80,63,59,73
27,46,47,72,56
28,48,63,72,83
29,51,41,63,60
30,37,18,38,51
31,31,29,28,36
32,35,52,40,65
33,50,41,50,64
34,33,28,65,43
35,27,20,17,29
36,36,27,62,58
37,77,70,91,72
38,61,49,71,71
39,84,90,87,100
40,78,43,59,55
41,7,17,18,27
42,57,32,36,55
43,60,60,85,66
44,17,19,25,28
45,82,86,75,84
46,37,36,45,41
47,40,27,35,45
48,72,73,94,96
49,74,63,79,69
50,87,85,84,93
51,66,34,57,50
52,90,68,64,78
53,43,19,29,35
54,24,15,1,17
55,41,34,28,43
56,42,16,29,43
57,33,23,48,53
58,29,15,20,21
59,83,83,58,71
60,73,81,94,85
61,66,23,78,41
62,71,38,80,61
63,62,57,91,83
64,47,51,69,80
65,53,33,50,38
66,61,33,50,49
67,21,20,39,21
68,74,66,65,78
69,72,68,42,66
70,50,44,47,56
71,5,27,29,24
72,32,28,14,43
73,23,25,26,34
74,34,20,23,30
75,70,87,84,88
76,9,25,23,33
77,61,37,39,55
78,34,40,36,33
79,38,31,33,31
80,72,41,36,44
81,32,28,32,41
82,52,29,32,36
83,96,76,90,77
84,58,31,46,46
85,35,23,17,38
86,40,38,7,21
87,48,23,41,40
88,46,53,34,30
89,32,21,24,28
90,50,28,29,31
91,76,63,74,72
92,64,40,30,49
93,62,43,14,48
94,76,42,58,51
95,81,50,61,63
96,69,49,30,34
97,89,83,73,81
98,27,29,34,40
99,39,24,26,24
100,62,39,42,40
101,73,74,74,61
102,49,18,27,20
103,35,18,28,25
104,36,4,15,43
105,16,16,25,22
106,60,48,67,29
107,74,60,57,78
108,22,9,6,26
109,47,21,26,25
110,43,32,74,55
111,84,51,76,84
112,65,43,38,70
113,49,26,62,50
114,31,14,8,16
115,83,54,44,45
116,87,86,77,78
117,68,59,60,63
118,68,53,41,57
119,28,4,37,29
120,42,29,33,48
121,42,31,47,44
122,70,57,60,61
123,58,62,40,66
124,57,40,43,28
125,8,12,0,20
126,44,32,31,28
127,65,43,36,49
128,81,53,78,81
129,57,53,75,58
130,64,36,20,31
131,86,62,78,54
132,34,27,48,52
133,84,57,45,64
134,4,9,5,11
135,23,9,5,26
136,66,43,54,72
137,53,23,28,30
138,70,41,44,34
139,78,53,45,54
140,39,19,5,32
141,74,62,44,58
142,33,33,32,42
143,43,24,29,47
144,54,21,43,28
145,26,15,13,19
146,58,17,34,19
147,29,15,37,19
148,73,60,59,54
149,59,25,45,48
150,58,17,31,23
151,70,56,76,62
152,19,12,9,28
153,29,21,26,30
154,32,7,14,18
155,77,64,87,71
156,91,69,100,83
157,50,31,53,44
158,63,32,43,52
159,42,16,27,22
160,68,28,60,69
161,70,23,43,50
162,82,78,80,88
163,0,8,2,9
164,45,26,29,24
165,73,31,43,32
166,60,85,89,80
